"Heartbreak High: Season 2","10.000.000","null","null","null","null","null","null"
"Barbie Life in the Dreamhouse: Season 1","10.000.000","Barbie Life in the Dreamhouse: Season 1","16.000.000","null","null","null","null"
"Sonic Prime: Season 3","10.000.000","null","null","null","null","null","null"
"Jurassic World Camp Cretaceous: Season 1","9.900.000","Jurassic World Camp Cretaceous: Season 1","7.800.000","null","null","null","null"
"Lottie Dottie Chicken: 4ª temporada // Galinha Pintadinha: 4ª temporada","9.900.000","Lottie Dottie Chicken: 4ª temporada // Galinha Pintadinha: 4ª temporada","10.800.000","null","null","null","null"
"CoComelon: Season 10","9.800.000","null","null","null","null","null","null"
"Gabby's Dollhouse: Season 2","9.700.000","Gabby's Dollhouse: Season 2","10.600.000","null","null","null","null"
"The Hijacking of Flight 601: Season 1 // Secuestro del vuelo 601: Temporada 1","9.600.000","null","null","null","null","null","null"
"Sonic Prime: Season 1","9.600.000","Sonic Prime: Season 1","11.900.000","null","null","null","null"
"Brooklyn Nine-Nine: Season 4","9.500.000","Brooklyn Nine-Nine: Season 4","6.100.000","null","null","null","null"
"CoComelon: Season 5","9.500.000","CoComelon: Season 5","14.200.000","null","null","null","null"
"Bebefinn Playtime","9.500.000","Bebefinn Playtime","2.200.000","null","null","null","null"
"Money Heist: Part 1 // La casa de papel: Parte 1","9.400.000","Money Heist: Part 1 // La casa de papel: Parte 1","7.500.000","null","null","null","null"
"Sex and the City: Season 1","9.400.000","null","null","null","null","null","null"
"Files of the Unexplained: Season 1","9.400.000","null","null","null","null","null","null"
"Dexter: Season 1","9.200.000","null","null","null","null","null","null"
"Ready","63.200.000","null","null","Ready","No","null","null"
"Alpha Males: Season 2 // Machos alfa: Temporada 2","9.200.000","null","null","null","null","null","null"
"American Conspiracy: The Octopus Murders: Season 1","9.200.000","null","null","null","null","null","null"
"RIPLEY: Limited Series","9.100.000","null","null","null","null","null","null"
